Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,0,19.26,21.04,157,0,0.3,20,508
0,0,19.26,21.04,157,0,0.3,10,471
0,0,30.24,13.86,157,0,0.3,80,553
0,0,30.24,13.86,157,0,0.3,60,536
0,0,30.24,13.86,157,0,0.3,50,522
0,0,30.24,13.86,157,0,0.3,40,512
0,0,30.24,13.86,157,0,0.3,20,472
0,0,30.24,13.86,157,0,0.3,10,437
1,0,29.4,21,271,3.25,14,60,378
1,0,29.4,21,271,3.25,14,50,358
1,0,29.4,21,271,3.25,14,40,333
1,0,29.4,21,271,3.25,14,20,276
1,0,29.4,21,271,3.25,14,10,230
1,0,20.3,10,712,0,7.4,60,370
1,0,20.3,10,712,0,7.4,50,312
1,0,20.3,10,712,0,7.4,40,259
1,0,20.3,10,712,0,14,50,123
1,0,20.3,10,712,0,0.3,50,123
1,0,20.3,10,712,0,7.4,20,123
1,0,20.3,10,712,0,14,40,100
1,0,20.3,10,712,0,0.3,40,100
1,0,20.3,10,712,0,14,20,50
1,0,20.3,10,712,0,0.3,20,50
1,0,20.3,10,712,0,7.4,10,49
1,0,20.3,10,712,0,14,10,21
1,0,20.3,10,712,0,0.3,10,21
0,0,18.5,10,1262,0,7.4,10,709
0,0,18.5,10,1262,0,0.3,20,552
0,0,18.5,10,1262,0,0.3,10,414
0,0,18.5,10,1262,0,14,40,271
0,0,18.5,10,1262,0,14,20,186
0,0,18.5,10,1262,0,14,10,127
0,0,1.86,10,970,0,7.4,60,429
0,0,1.86,10,970,0,7.4,50,362
0,0,1.86,10,970,0,7.4,40,294
0,0,1.86,10,970,0,0.3,60,188
0,0,1.86,10,970,0,0.3,50,170
0,0,1.86,10,970,0,0.3,40,153
0,0,1.86,10,970,0,7.4,20,152
0,0,1.86,10,970,0,14,50,125
0,0,1.86,10,970,0,0.3,20,109
0,0,1.86,10,970,0,14,40,105
0,0,1.86,10,970,0,0.3,10,78
0,0,1.86,10,970,0,7.4,10,69
0,0,1.86,10,970,0,14,20,59
0,0,1.86,10,970,0,14,10,31
0,0,0,0,1092,0,0.3,10,517
0,0,0,0,1092,0,14,10,370
1,0,22.4,30,257.2,2.3,0.3,100,354
1,0,22.4,30,257.2,2.3,14,100,336
1,0,22.4,30,257.2,2.3,0.3,80,316
1,0,22.4,30,257.2,2.3,14,80,289
1,0,22.4,30,257.2,2.3,0.3,60,271
1,0,22.4,30,257.2,2.3,0.3,50,244
1,0,22.4,30,257.2,2.3,14,60,239
1,0,22.4,30,257.2,2.3,0.3,40,217
1,0,22.4,30,257.2,2.3,14,50,211
1,0,22.4,30,257.2,2.3,14,40,185
1,0,22.4,30,257.2,2.3,0.3,20,152
1,0,22.4,30,257.2,2.3,14,20,118
1,0,22.4,30,257.2,2.3,0.3,10,116
1,0,22.4,30,257.2,2.3,14,10,70
1,0,15.4,30,257.2,1.8,0.3,100,300
1,0,15.4,30,257.2,1.8,0.3,80,265
1,0,15.4,30,257.2,1.8,14,100,247
1,0,15.4,30,257.2,1.8,0.3,60,229
1,0,15.4,30,257.2,1.8,14,80,210
1,0,15.4,30,257.2,1.8,0.3,50,208
1,0,15.4,30,257.2,1.8,0.3,40,186
1,0,15.4,30,257.2,1.8,14,60,169
1,0,15.4,30,257.2,1.8,14,50,148
1,0,15.4,30,257.2,1.8,0.3,20,132
1,0,15.4,30,257.2,1.8,14,40,122
1,0,15.4,30,257.2,1.8,0.3,10,94
1,0,15.4,30,257.2,1.8,14,20,68
1,0,15.4,30,257.2,1.8,14,10,27
0,0,18.3,30,257.2,1.65,0.3,40,649
0,0,18.3,30,257.2,1.65,0.3,20,561
0,0,18.3,30,257.2,1.65,0.3,10,484
0,0,18.3,30,257.2,1.65,14,20,318
0,0,18.3,30,257.2,1.65,14,10,273
1,1,7.91,7.3,658,1.77,14,80,391
1,1,7.91,7.3,658,1.77,14,60,317
1,1,7.91,7.3,658,1.77,14,50,276
1,1,7.91,7.3,658,1.77,14,40,233
1,1,7.91,7.3,658,1.77,14,20,136
1,1,7.91,7.3,658,1.77,14,10,83
1,1,7.64,7.3,681,1.8,14,150,360
1,1,7.64,7.3,681,1.8,14,100,260
1,1,7.64,7.3,681,1.8,14,80,216
1,1,7.64,7.3,681,1.8,14,60,172
1,1,7.64,7.3,681,1.8,14,50,150
1,1,7.64,7.3,681,1.8,14,40,125
1,1,7.64,7.3,681,1.8,14,20,68
1,1,7.64,7.3,681,1.8,14,10,38
1,1,6.36,7.3,702,1.89,14,100,394
1,1,6.36,7.3,702,1.89,14,80,346
1,1,6.36,7.3,702,1.89,14,60,294
1,1,6.36,7.3,702,1.89,14,50,264
1,1,6.36,7.3,702,1.89,14,40,230
1,1,6.36,7.3,702,1.89,14,20,146
1,1,6.36,7.3,702,1.89,14,10,82
1,1,14.2,7.2,588,1.48,14,60,391
1,1,14.2,7.2,588,1.48,14,50,348
1,1,14.2,7.2,588,1.48,14,40,304
1,1,14.2,7.2,588,1.48,14,20,190
1,1,14.2,7.2,588,1.48,14,10,118
1,1,10.74,7.2,717,1.9,14,100,367
1,1,10.74,7.2,717,1.9,14,80,306
1,1,10.74,7.2,717,1.9,14,60,246
1,1,10.74,7.2,717,1.9,14,50,215
1,1,10.74,7.2,717,1.9,14,40,184
1,1,10.74,7.2,717,1.9,14,20,112
1,1,10.74,7.2,717,1.9,14,10,69
1,1,9.87,7.2,730,1.96,14,60,397
1,1,9.87,7.2,730,1.96,14,50,344
1,1,9.87,7.2,730,1.96,14,40,288
1,1,9.87,7.2,730,1.96,14,20,161
1,1,9.87,7.2,730,1.96,14,10,90
1,1,6.16,7.2,680,1.82,14,150,386
1,1,6.16,7.2,680,1.82,14,100,280
1,1,6.16,7.2,680,1.82,14,80,232
1,1,6.16,7.2,680,1.82,14,60,182
1,1,6.16,7.2,680,1.82,14,50,157
1,1,6.16,7.2,680,1.82,14,40,131
1,1,6.16,7.2,680,1.82,14,20,73
1,1,6.16,7.2,680,1.82,14,10,40
1,1,11.44,7.1,476,1.74,14,80,431
1,1,11.44,7.1,476,1.74,14,60,367
1,1,11.44,7.1,476,1.74,14,50,333
1,1,11.44,7.1,476,1.74,14,40,293
1,1,11.44,7.1,476,1.74,14,20,194
1,1,11.44,7.1,476,1.74,14,10,126
0,1,6.22,5.5,842,1.82,14,150,323
0,1,6.22,5.5,842,1.82,14,100,235
0,1,6.22,5.5,842,1.82,14,80,194
0,1,6.22,5.5,842,1.82,14,60,155
0,1,6.22,5.5,842,1.82,14,50,133
0,1,6.22,5.5,842,1.82,14,40,111
0,1,6.22,5.5,842,1.82,14,20,60
0,1,6.22,5.5,842,1.82,14,10,30
0,0,4.15,7.5,750,6.9,14,60,450
0,0,4.15,7.5,750,6.9,14,50,428
0,0,4.15,7.5,750,6.9,14,40,404
0,0,4.15,7.5,750,6.9,14,20,345
0,0,4.15,7.5,750,6.9,14,10,298
0,1,20,3.32,200.1,0,0.3,10,42.03
0,1,20,3.32,200.1,0,0.3,20,51
0,1,20,3.32,200.1,0,0.3,40,63
0,1,20,3.32,200.1,0,0.3,50,67
0,1,20,3.32,200.1,0,0.3,100,87.4
0,1,2,0.61,282,12.08,0.3,10,35.28
0,1,2,0.61,282,12.08,0.3,20,43
0,1,2,0.61,282,12.08,0.3,40,50
0,1,2,0.61,282,12.08,0.3,50,54
0,1,2,0.61,282,12.08,0.3,100,69
0,1,1,0.54,282,12.08,0.3,10,47.2
0,1,1,0.54,282,12.08,0.3,20,56
0,1,1,0.54,282,12.08,0.3,40,68
0,1,1,0.54,282,12.08,0.3,50,73
0,1,1,0.54,282,12.08,0.3,100,100
0,1,0.5,0.35,282,12.08,0.3,10,66.1
0,1,0.5,0.35,282,12.08,0.3,20,98
0,1,0.5,0.35,282,12.08,0.3,40,146
0,1,0.5,0.35,282,12.08,0.3,50,164
0,1,0.25,0.35,282,12.08,0.3,10,95.75
0,1,0.25,0.35,282,12.08,0.3,20,141
0,1,5.4,0.35,122,0,0,10,26
0,1,5.4,0.35,122,0,0,20,38
0,1,5.4,0.35,122,0,0,40,61
0,1,5.4,0.35,122,0,0,50,71
0,1,5.4,0.35,122,0,0,100,112
0,1,20.3,4.24,36.1,0,0.3,10,18.2
0,1,20.3,4.24,36.1,0,0.3,20,22
0,1,20.3,4.24,36.1,0,14,10,63
0,1,20.3,4.24,36.1,0,14,20,97
0,1,17.2,3.05,55.8,0,0.3,10,14.3
0,1,17.2,3.05,55.8,0,0.3,20,21
0,1,17.2,3.05,55.8,0,14,10,37.2
0,1,17.2,3.05,55.8,0,14,20,72
0,1,15.7,2.93,46.7,0,0.3,10,16.5
0,1,15.7,2.93,46.7,0,0.3,20,17
0,1,15.7,2.93,46.7,0,14,10,48.4
0,1,15.7,2.93,46.7,0,14,20,56
0,1,11.24,10,96.5,3.4,0.3,10,32
0,1,11.24,10,96.5,3.4,0.3,20,36.7
0,1,11.24,10,96.5,3.4,0.3,40,42.5
0,1,11.24,10,96.5,3.4,0.3,50,43.3
0,1,11.24,10,96.5,3.4,0.3,100,54.3
0,1,11.24,10,96.5,3.4,0.3,150,66
